Assembly Accession	Assembly Sequencing Tech
GCF_000597845.1	PacBio
GCF_000599625.1	PacBio
GCF_000599645.1	PacBio
GCF_000599665.1	PacBio
GCF_000599685.1	PacBio
GCF_000599705.1	PacBio
GCF_000784925.1	PacBio RSII
GCF_000801165.1	Sequence generated by Ion Torrent and Pacific Biosciences technologies
GCF_000801185.2	Sequence generated by Ion Torrent and Pacific Biosciences technologies
GCF_000814145.2	Pacbio RS
GCF_000819645.1	454
GCF_000830035.1	454; Sanger
GCF_000833145.1	Illumina HiSeq
GCF_000833635.2	PacBio
GCF_000931565.1	Illumina MiSeq 2x300; PacBio
GCF_000952955.1	
GCF_000953515.1	
GCF_000967155.2	
GCF_000971615.1	
GCF_000987875.1	Illumina
GCF_000988355.1	Illumina
GCF_000988385.1	Illumina
GCF_000988425.1	Illumina
GCF_000988465.1	Illumina
GCF_001007915.1	PacBio RS
GCF_001021595.1	454; Illumina
GCF_001039415.1	Illumina GAII; 454
GCF_001043215.1	PacBio; Illumina HiSeq
GCF_001183645.1	Illumina
GCF_001183665.1	Illumina
GCF_001183685.1	Illumina
GCF_001276585.2	Illumina HiSeq
GCF_001280325.1	PacBio
GCF_001280345.1	PacBio
GCF_001280385.1	PacBio
GCF_001280405.1	PacBio
GCF_001308125.1	Illumina
GCF_001308165.1	Illumina
GCF_001420935.1	Pacific Biosciences
GCF_001420955.1	Pacific Biosciences
GCF_001442495.1	PacBio
GCF_001455385.1	IonTorrent
GCF_001469815.1	PacBio
GCF_001485455.1	Roche 454 GS FLX; Illumina Hiseq 2000; Sanger
GCF_001513615.1	PacBio
GCF_001513635.1	PacBio
GCF_001513655.1	PacBio
GCF_001515725.1	454
GCF_001542675.2	Pacific Biosciences
GCF_001566615.1	PacBio
GCF_001566635.1	PacBio
GCF_001566655.1	PacBio
GCF_001566675.1	PacBio
GCF_001577325.1	PacBio
GCF_001612475.1	PacBio; IonTorrent
GCF_001612495.1	IonTorrent; PacBio; ABI3730
GCF_001617565.1	PacBio
GCF_001618325.1	PacBio
GCF_001618345.2	PacBio
